alpha_dep,alpha_ci,confounders_index_confounderDCI,confounders,sqrt_PEHE,|ATE_err|
0.05,0.05,9,[9],1.432649042983631,0.043722401059932636
0.05,0.1,9,[9],1.432649042983631,0.043722401059932636
0.05,0.15,9,[9],1.432649042983631,0.043722401059932636
0.05,0.2,9,[9],1.432649042983631,0.043722401059932636
0.05,0.25,9,[9],1.432649042983631,0.043722401059932636
0.05,0.3,9,[9],1.432649042983631,0.043722401059932636
0.05,0.35,9,[9],1.432649042983631,0.043722401059932636
0.05,0.4,9,[9],1.432649042983631,0.043722401059932636
0.05,0.45,9,[9],1.432649042983631,0.043722401059932636
0.05,0.5,9,[9],1.432649042983631,0.043722401059932636
0.05,0.55,9,[9],1.432649042983631,0.043722401059932636
0.05,0.6,9,[9],1.432649042983631,0.043722401059932636
0.05,0.65,9,[9],1.432649042983631,0.043722401059932636
0.05,0.7,9,[9],1.432649042983631,0.043722401059932636
0.05,0.75,9,[9],1.432649042983631,0.043722401059932636
0.05,0.8,9,[9],1.432649042983631,0.043722401059932636
0.05,0.85,9,[9],1.432649042983631,0.043722401059932636
0.05,0.9,9,[9],1.432649042983631,0.043722401059932636
0.05,0.95,9,[9],1.432649042983631,0.043722401059932636
0.1,0.05,"2,9","[2, 9]",1.4371484045635137,0.04316675872293452
0.1,0.1,9,[9],1.432649042983631,0.043722401059932636
0.1,0.15,9,[9],1.432649042983631,0.043722401059932636
0.1,0.2,9,[9],1.432649042983631,0.043722401059932636
0.1,0.25,9,[9],1.432649042983631,0.043722401059932636
0.1,0.3,9,[9],1.432649042983631,0.043722401059932636
0.1,0.35,9,[9],1.432649042983631,0.043722401059932636
0.1,0.4,9,[9],1.432649042983631,0.043722401059932636
0.1,0.45,9,[9],1.432649042983631,0.043722401059932636
0.1,0.5,9,[9],1.432649042983631,0.043722401059932636
0.1,0.55,9,[9],1.432649042983631,0.043722401059932636
0.1,0.6,9,[9],1.432649042983631,0.043722401059932636
0.1,0.65,9,[9],1.432649042983631,0.043722401059932636
0.1,0.7,9,[9],1.432649042983631,0.043722401059932636
0.1,0.75,9,[9],1.432649042983631,0.043722401059932636
0.1,0.8,9,[9],1.432649042983631,0.043722401059932636
0.1,0.85,9,[9],1.432649042983631,0.043722401059932636
0.1,0.9,9,[9],1.432649042983631,0.043722401059932636
0.1,0.95,9,[9],1.432649042983631,0.043722401059932636
0.15,0.05,"2,9","[2, 9]",1.4371484045635137,0.04316675872293452
0.15,0.1,9,[9],1.432649042983631,0.043722401059932636
0.15,0.15,9,[9],1.432649042983631,0.043722401059932636
0.15,0.2,9,[9],1.432649042983631,0.043722401059932636
0.15,0.25,9,[9],1.432649042983631,0.043722401059932636
0.15,0.3,9,[9],1.432649042983631,0.043722401059932636
0.15,0.35,9,[9],1.432649042983631,0.043722401059932636
0.15,0.4,9,[9],1.432649042983631,0.043722401059932636
0.15,0.45,9,[9],1.432649042983631,0.043722401059932636
0.15,0.5,9,[9],1.432649042983631,0.043722401059932636
0.15,0.55,9,[9],1.432649042983631,0.043722401059932636
0.15,0.6,9,[9],1.432649042983631,0.043722401059932636
0.15,0.65,9,[9],1.432649042983631,0.043722401059932636
0.15,0.7,9,[9],1.432649042983631,0.043722401059932636
0.15,0.75,9,[9],1.432649042983631,0.043722401059932636
0.15,0.8,9,[9],1.432649042983631,0.043722401059932636
0.15,0.85,9,[9],1.432649042983631,0.043722401059932636
0.15,0.9,9,[9],1.432649042983631,0.043722401059932636
0.15,0.95,9,[9],1.432649042983631,0.043722401059932636
0.2,0.05,"2,9","[2, 9]",1.4371484045635137,0.04316675872293452
0.2,0.1,9,[9],1.432649042983631,0.043722401059932636
0.2,0.15,9,[9],1.432649042983631,0.043722401059932636
0.2,0.2,9,[9],1.432649042983631,0.043722401059932636
0.2,0.25,9,[9],1.432649042983631,0.043722401059932636
0.2,0.3,9,[9],1.432649042983631,0.043722401059932636
0.2,0.35,9,[9],1.432649042983631,0.043722401059932636
0.2,0.4,9,[9],1.432649042983631,0.043722401059932636
0.2,0.45,9,[9],1.432649042983631,0.043722401059932636
0.2,0.5,9,[9],1.432649042983631,0.043722401059932636
0.2,0.55,9,[9],1.432649042983631,0.043722401059932636
0.2,0.6,9,[9],1.432649042983631,0.043722401059932636
0.2,0.65,9,[9],1.432649042983631,0.043722401059932636
0.2,0.7,9,[9],1.432649042983631,0.043722401059932636
0.2,0.75,9,[9],1.432649042983631,0.043722401059932636
0.2,0.8,9,[9],1.432649042983631,0.043722401059932636
0.2,0.85,9,[9],1.432649042983631,0.043722401059932636
0.2,0.9,9,[9],1.432649042983631,0.043722401059932636
0.2,0.95,9,[9],1.432649042983631,0.043722401059932636
0.25,0.05,"2,9","[2, 9]",1.4371484045635137,0.04316675872293452
0.25,0.1,9,[9],1.432649042983631,0.043722401059932636
0.25,0.15,9,[9],1.432649042983631,0.043722401059932636
